KOD;AÇIKLAMA
PE01;Ön Yıkama Pompa Motoru
PE02;Yıkama Pompa Motoru
PE03;Ön Durulama Pompa Motoru
PE04;Durulama Pompa Motoru
PE05;Otomatik Drenaj Pompası Motoru
PE06;Vakum Pompası Motoru
PE07;Hücre Boşaltma Pompası Motoru
PE08;Arıtma Gidiş Pompası Motoru
PE09;Arıtma Dönüş Pompası Motoru
PE10;1.  Dozaj Pompası
PE11;2.  Dozaj Pompası
PE12;3.  Dozaj Pompası
PE13;Hassas Filre Pompası Motoru
PE14;Yağ Ayırıcı Pompası Motoru
PE15;xxx Pompası Motoru
FE01;Egzost Fanı Motoru
FE02;1. Kurutma Fanı Motoru
FE03;2. Kurutma Fanı Motoru
FE04;1. Blower Motoru
FE05;2. Blower Motoru
FE06;3. Blower Motoru
FE07;4. Blower Motoru
FE08;xxx Fan Motoru
FE09;xxx Fan Motoru
FE10;xxx Fan Motoru
VE01;1. Vibrasyon  Motoru  
VE02;2. Vibrasyon  Motoru  
VE03;Vibrasyon xxx Motoru  
VE04;Vibrasyon xxx Motoru  
VE05;Vibrasyon xxx Motoru  
GE01;Sepet Redüktörü Motoru
GE02;Tambur Redüktör Motoru
GE03;Otomatik Yükleme Motoru
GE04;Kapı Redüktör Motoru
GE05;1. Konveyör  Redüktör Motoru
GE06;1. Yağ Sıyırıcı Redüktör Motoru
GE07;2. Yağ Sıyırıcı Redüktör Motoru
GE08;1. Yükleme( Konveyör) Redüktör Motoru
GE09;2. Yükleme (Konveyör) Redüktör Motoru
GE10;xxx Redüktör Motoru
R01;1. Proses Tankı 1. Rezistans 
R02;1. Proses Tankı 2. Rezistans
R03;1. Proses Tankı 3. Rezistans 
R04;1. Proses Tank 4. Rezistans
R05;1. Proses Tankı 5. Rezistans 
R06;2. Proses Tankı 1. Rezistans
R07;2. Proses Tankı 2. Rezistans
R08;2. Proses Tankı 3. Rezistans
R09;2. Proses Tankı 4. Rezistans
R10;2. Proses Tankı 5. Rezistans
R11;3. Proses Tankı 1. Rezistans
R12;3. Proses Tankı 2. Rezistans
R13;3. Proses Tankı 3. Rezistans
R14;3. Proses Tankı 4. Rezistans
R15;3. Proses Tankı 5. Rezistans
R16;4. Proses Tankı 1. Rezistans
R17;4. Proses Tankı 2. Rezistans
R18;4. Proses Tankı 3. Rezistans
R19;4. Proses Tankı 4. Rezistans
R20;4. Proses Tankı 5. Rezistans
R21;1. Kurutma Rezistansı Grubu 
R22;2. Kurutma Rezistansı Grubu
R23;3. Kurutma Rezistansı Grubu
R24;4. Kurutma Rezistansı Grubu
R25;5. Kurutma Rezistansı Grubu
R26;6. Kurutma Rezistansı Grubu
R27;xxx Rezistansı
R28;xxx Rezistansı
R29;xxx Rezistansı
R30;xxx Rezistansı
INV01;Sepet Redüktörü İnvertörü
INV02;Tambur Redüktör İnvertörü
INV03;1. Konveyör Redüktör İnvertörü
INV04;1.Taşıma Konveyörü İnvertörü
INV05;xxx İnvertörü
INV06;xxx İnvertörü
INV07;xxx İnvertörü
INV08;xxx İnvertörü
INV09;xxx İnvertörü
INV10;xxx İnvertörü
BR01;1. Proses Tankı Brülörü
BR02;2. Proses Tankı Brülörü
BR03;3. Proses Tankı Brülörü
BR04;4. Proses Tankı Brülörü
BR05;Kurutma Brülörü
TD01;1.  Proses Tankı Ultrasonik Jeneratör Seti
TD02;2.  Proses Tankı Ultrasonik Jeneratör Seti
TD03;3.  Proses Tankı Ultrasonik Jeneratör Seti
TD04;4.  Proses Tankı Ultrasonik Jeneratör Seti
TD05;5.  Proses Tankı Ultrasonik Jeneratör Seti
TD06;6.  Proses Tankı Ultrasonik Jeneratör Seti
TD07;7.  Proses Tankı Ultrasonik Jeneratör Seti
TD08;8.  Proses Tankı Ultrasonik Jeneratör Seti
TD09;9.  Proses Tankı Ultrasonik Jeneratör Seti
TD10;10.  Proses Tankı Ultrasonik Jeneratör Seti
L01;Tepe Lambası - Uyarı Lambası
L02;Hücre İçi Aydınlatma Lambası
L03;Pano Lambası
L04;xxx Lambası 
L05;xxx Lambası 
T01;1. Pompa  Motoru  Termik/MKŞ
T02;2. Pompa  Motoru  Termik/MKŞ
T03;3. Pompa  Motoru  Termik/MKŞ
T04;4. Pompa  Motoru  Termik/MKŞ
T05;5. Pompa  Motoru  Termik/MKŞ
T06;6. Pompa  Motoru  Termik/MKŞ
T07;7. Pompa  Motoru  Termik/MKŞ
T08;8. Pompa  Motoru  Termik/MKŞ
T09;9. Pompa  Motoru  Termik/MKŞ
T10;10. Pompa  Motoru  Termik/MKŞ
T11;1. Fan   Motoru Termik/MKŞ
T12;2. Fan   Motoru Termik/MKŞ
T13;3. Fan   Motoru Termik/MKŞ
T14;4. Fan   Motoru Termik/MKŞ
T15;5. Fan   Motoru Termik/MKŞ
T16;1. Vibrasyon  Motoru  Termik/MKŞ
T17;2. Vibrasyon  Motoru  Termik/MKŞ
T18;3. Vibrasyon  Motoru  Termik/MKŞ
T19;4. Vibrasyon  Motoru  Termik/MKŞ
T20;5. Vibrasyon  Motoru  Termik/MKŞ
T21;1. Redüktör  Motoru Termik/MKŞ
T22;2. Redüktör  Motoru Termik/MKŞ
T23;3. Redüktör  Motoru Termik/MKŞ
T24;4. Redüktör  Motoru Termik/MKŞ
T25;5. Redüktör  Motoru Termik/MKŞ
T26;6. Redüktör  Motoru Termik/MKŞ
T27;7. Redüktör  Motoru Termik/MKŞ
T28;8. Redüktör  Motoru Termik/MKŞ
T29;9. Redüktör  Motoru Termik/MKŞ
T30;10. Redüktör  Motoru Termik/MKŞ
LS01;1. Proses Tankı Alt Seviye Sensörü
LS02;1. Proses Tankı Orta Seviye Sensörü
LS03;1. Proses Tankı Üst Seviye Sensörü
LS04;2. Proses Tankı Alt Seviye Sensörü
LS05;2. Proses Tankı Orta Seviye Sensörü
LS06;2. Proses Tankı Üst Seviye Sensörü
LS07;3. Proses Tankı Alt Seviye Sensörü
LS08;3. Proses Tankı Orta Seviye Sensörü
LS09;3. Proses Tankı Üst Seviye Sensörü
LS10;4. Proses Tankı Alt Seviye Sensörü
LS11;4. Proses Tankı Orta Seviye Sensörü
LS12;4. Proses Tankı Üst Seviye Sensörü
LS13;Hücre İçi 1. Seviye Sensörü
LS14;Hücre İçi 2. Seviye Sensörü
LS15;Hücre İçi 3. Seviye Sensörü
LS16;Hücre İçi 4. Seviye Sensörü
LS17;Drenaj Hattı 1. Seviye Sensörü
LS18;Drenaj Hattı 2. Seviye Sensörü
LS19;Drenaj Hattı 3. Seviye Sensörü
LS20;Drenaj Hattı 4. Seviye Sensörü
LS21;Vakum Pompası Tank Üst Seviye Sensörü
LS22;Vakum Pompası Tank Alt Seviye Sensörü
LS23;1. Dozaj Pompası Seviye Sensörü
LS24;2. Dozaj Pompası Seviye Sensörü
LS25;3. Dozaj Pompası Seviye Sensörü
LS26;Sızıntı Tavası Uyarı Seviye Sensörü
LS27;xxx Seviye Sensörü
LS28;xxx Seviye Sensörü
LS29;xxx Seviye Sensörü
LS30;xxx Seviye Sensörü
SS01;El Koruma Sensörü
SS02;Interlock Kilit
SS03;Işın Bariyeri Safety Sensörü
SS04;İnterlock Kilit Sensörü
SS05;1. KAPAK RFID SENSÖRÜ
SS06;2. KAPAK RFID SENSÖRÜ
SS07;3. KAPAK RFID SENSÖRÜ
SS08;4. KAPAK RFID SENSÖRÜ
SS09;5. KAPAK RFID SENSÖRÜ
SS10;6. KAPAK RFID SENSÖRÜ
SS11;7. KAPAK RFID SENSÖRÜ
PRS01;Sepet Pozisyon 1 Sensörü
PRS02;Sepet Pozisyon 2 Sensörü
PRS03;1. Konveyör Giriş Prox Sensörü
PRS04;2. Konveyör Giriş Prox Sensörü
PRS05;3. Konveyör Giriş Prox Sensörü
PRS06;1. Konveyör Çıkış Prox Sensörü
PRS07;2. Konveyör Çıkış Prox Sensörü
PRS08;3. Konveyör Çıkış Prox Sensörü
PRS09;xxx Prox Sensörü
PRS10;xxx Prox Sensörü
SWB01;1. Proses Pompa Emiş Aktüatör Vanası Switch Box
SWB02;2. Proses Pompa Emiş Aktüatör Vanası Switch Box
SWB03;3. Proses Pompa Emiş Aktüatör Vanası Switch Box
SWB04;4. Proses Pompa Emiş Aktüatör Vanası Switch Box
SWB05;Conta Şişirme Aktüator Vanası Switch Box
SWB06;Conta Söndürme Aktüator Vanası Switch Box
SWB07;1. Kurutma Hattı Aktüator Vanası Switch Box
SWB08;2. Kurutma Hattı Aktüator Vanası Switch Box
SWB09;Hücre Drenaj Aktüatör Vanası Switch Box
SWB10;Hücre Emiş Aktüatör Vanası Switch Box
SWB11;Proses Ana Geri Dönüş Aktüatör Vanası Switch Box
