KOD;TETİK SENSÖRÜ;KİLİTLENEN EKİPMAN;GÜVENLİK MANTIĞI
LS01;1. Proses Tankı Alt Seviye Sensörü;Proses Pompaları (PE), Isıtıcılar (R01-R05);"Susuz çalışmayı engeller: 1. proses tankında sıvı seviyesi minimum eşiğin altına düştüğünde PLC, ilgili proses pompalarını ve ısıtıcıları interlock ederek kuru çalışmayı ve termal hasarı önler."
LS04;2. Proses Tankı Alt Seviye Sensörü;Proses Pompaları (PE), Isıtıcılar (R06-R10);"Susuz çalışmayı engeller: 2. proses tankında sıvı seviyesi minimum eşiğin altına düştüğünde PLC, ilgili proses pompalarını ve ısıtıcıları interlock ederek kuru çalışmayı ve termal hasarı önler."
LS07;3. Proses Tankı Alt Seviye Sensörü;Proses Pompaları (PE), Isıtıcılar (R11-R15);"Susuz çalışmayı engeller: 3. proses tankında sıvı seviyesi minimum eşiğin altına düştüğünde PLC, ilgili proses pompalarını ve ısıtıcıları interlock ederek kuru çalışmayı ve termal hasarı önler."
LS10;4. Proses Tankı Alt Seviye Sensörü;Proses Pompaları (PE), Isıtıcılar (R16-R20);"Susuz çalışmayı engeller: 4. proses tankında sıvı seviyesi minimum eşiğin altına düştüğünde PLC, ilgili proses pompalarını ve ısıtıcıları interlock ederek kuru çalışmayı ve termal hasarı önler."
SS01;El Koruma Sensörü;Hücre Kapak Kapanma Mekanizması;"Operatör koruması: Kapak kapanırken el veya yabancı cisim algılandığında kapanma hareketi durdurulur. PLC, kapak pistonu/aktüatörüne enable vermez ve ezilme riskini engeller."
SS02;Interlock Kilit;Hücre Kapağı;"Operasyonel güvenlik: Aktif yıkama/proses döngüsü sırasında kapağı fiziksel olarak kilitler. Operatörün makine çalışırken kapağı aniden açması engellenir."
SS03;Işın Bariyeri Safety Sensörü;Hücre Kapak Kapanma Mekanizması;"Bypass edilemez koruma: Kapak kapanma alanında ışın kirişi kesildiğinde kapanma durur. El, parça veya engel varlığında ezilme riski engellenir; SIL/yüksek güvenilirlik senaryolarına uygundur."
SS05;1. KAPAK RFID SENSÖRÜ;Makine Çevrimi (GE, PE, FE);"Kapak açık güvenliği: Makine çalışırken kapak açıldığında RFID doğrulaması bozulur ve PLC makineyi acil durdurur. Olası yaralanmalar engellenir."
SS06;2. KAPAK RFID SENSÖRÜ;Makine Çevrimi (GE, PE, FE);"Kapak açık güvenliği: Makine çalışırken kapak açıldığında RFID doğrulaması bozulur ve PLC makineyi acil durdurur. Olası yaralanmalar engellenir."
SS07;3. KAPAK RFID SENSÖRÜ;Makine Çevrimi (GE, PE, FE);"Kapak açık güvenliği: Makine çalışırken kapak açıldığında RFID doğrulaması bozulur ve PLC makineyi acil durdurur. Olası yaralanmalar engellenir."
