KOD;KOMPONENTENNAME;BESCHREIBUNG
PE01;Vorwäsche-Pumpenmotor;Gewährleistet Flüssigkeitszirkulation oder -transfer in der Prozessleitung für Vorwäsche-Pumpenmotor. Angeschlossen an Saug-/Druckleitungen, Ventile, Sensoren und Motorsteuerkreis.
PE02;Waschpumpenmotor;Gewährleistet Flüssigkeitszirkulation oder -transfer in der Prozessleitung für Waschpumpenmotor. Angeschlossen an Saug-/Druckleitungen, Ventile, Sensoren und Motorsteuerkreis.
PE03;Vorspül-Pumpenmotor;Gewährleistet Flüssigkeitszirkulation oder -transfer in der Prozessleitung für Vorspül-Pumpenmotor. Angeschlossen an Saug-/Druckleitungen, Ventile, Sensoren und Motorsteuerkreis.
PE04;Spülpumpenmotor;Gewährleistet Flüssigkeitszirkulation oder -transfer in der Prozessleitung für Spülpumpenmotor. Angeschlossen an Saug-/Druckleitungen, Ventile, Sensoren und Motorsteuerkreis.
PE05;Automatischer Ablasspumpenmotor;Gewährleistet Flüssigkeitszirkulation oder -transfer in der Prozessleitung für Automatischer Ablasspumpenmotor. Angeschlossen an Saug-/Druckleitungen, Ventile, Sensoren und Motorsteuerkreis.
PE06;Vakuumpumpenmotor;Gewährleistet Flüssigkeitszirkulation oder -transfer in der Prozessleitung für Vakuumpumpenmotor. Angeschlossen an Saug-/Druckleitungen, Ventile, Sensoren und Motorsteuerkreis.
PE07;Zellenentleerungspumpenmotor;Gewährleistet Flüssigkeitszirkulation oder -transfer in der Prozessleitung für Zellenentleerungspumpenmotor. Angeschlossen an Saug-/Druckleitungen, Ventile, Sensoren und Motorsteuerkreis.
PE08;Reinigung-Auslasspumpenmotor;Gewährleistet Flüssigkeitszirkulation oder -transfer in der Prozessleitung für Reinigung-Auslasspumpenmotor. Angeschlossen an Saug-/Druckleitungen, Ventile, Sensoren und Motorsteuerkreis.
PE09;Reinigung-Rücklaufpumpenmotor;Gewährleistet Flüssigkeitszirkulation oder -transfer in der Prozessleitung für Reinigung-Rücklaufpumpenmotor. Angeschlossen an Saug-/Druckleitungen, Ventile, Sensoren und Motorsteuerkreis.
PE10;1. Dosierpumpe;Gewährleistet Flüssigkeitszirkulation oder -transfer in der Prozessleitung für 1. Dosierpumpe. Angeschlossen an Saug-/Druckleitungen, Ventile, Sensoren und Motorsteuerkreis.
PE11;2. Dosierpumpe;Gewährleistet Flüssigkeitszirkulation oder -transfer in der Prozessleitung für 2. Dosierpumpe. Angeschlossen an Saug-/Druckleitungen, Ventile, Sensoren und Motorsteuerkreis.
PE12;3. Dosierpumpe;Gewährleistet Flüssigkeitszirkulation oder -transfer in der Prozessleitung für 3. Dosierpumpe. Angeschlossen an Saug-/Druckleitungen, Ventile, Sensoren und Motorsteuerkreis.
PE13;Feinfilterpumpenmotor;Gewährleistet Flüssigkeitszirkulation oder -transfer in der Prozessleitung für Feinfilterpumpenmotor. Angeschlossen an Saug-/Druckleitungen, Ventile, Sensoren und Motorsteuerkreis.
PE14;Ölabscheiderpumpenmotor;Gewährleistet Flüssigkeitszirkulation oder -transfer in der Prozessleitung für Ölabscheiderpumpenmotor. Angeschlossen an Saug-/Druckleitungen, Ventile, Sensoren und Motorsteuerkreis.
PE15;xxx Pumpenmotor;Gewährleistet Flüssigkeitszirkulation oder -transfer in der Prozessleitung für xxx Pumpenmotor. Angeschlossen an Saug-/Druckleitungen, Ventile, Sensoren und Motorsteuerkreis.
FE01;Abluftventilatormotor;Regelt den Luftstrom für Abluftventilatormotor. Angeschlossen an Kanal, Prozessleitung, Klappen/Ventile und Motorschutz.
FE02;1. Trocknungsventilatormotor;Regelt den Luftstrom für 1. Trocknungsventilatormotor. Angeschlossen an Kanal, Prozessleitung, Klappen/Ventile und Motorschutz.
FE03;2. Trocknungsventilatormotor;Regelt den Luftstrom für 2. Trocknungsventilatormotor. Angeschlossen an Kanal, Prozessleitung, Klappen/Ventile und Motorschutz.
