KOD;COMPONENT NAME;DESCRIPTION
PE01;Pre-Wash Pump Motor;Provides liquid circulation or transfer in the process line for Pre-Wash Pump Motor. Connected to suction/discharge lines, related valves, sensors and motor control circuit.
PE02;Wash Pump Motor;Provides liquid circulation or transfer in the process line for Wash Pump Motor. Connected to suction/discharge lines, related valves, sensors and motor control circuit.
PE03;Pre-Rinse Pump Motor;Provides liquid circulation or transfer in the process line for Pre-Rinse Pump Motor. Connected to suction/discharge lines, related valves, sensors and motor control circuit.
PE04;Rinse Pump Motor;Provides liquid circulation or transfer in the process line for Rinse Pump Motor. Connected to suction/discharge lines, related valves, sensors and motor control circuit.
PE05;Automatic Drain Pump Motor;Provides liquid circulation or transfer in the process line for Automatic Drain Pump Motor. Connected to suction/discharge lines, related valves, sensors and motor control circuit.
PE06;Vacuum Pump Motor;Provides liquid circulation or transfer in the process line for Vacuum Pump Motor. Connected to suction/discharge lines, related valves, sensors and motor control circuit.
PE07;Cell Discharge Pump Motor;Provides liquid circulation or transfer in the process line for Cell Discharge Pump Motor. Connected to suction/discharge lines, related valves, sensors and motor control circuit.
PE08;Purification Outlet Pump Motor;Provides liquid circulation or transfer in the process line for Purification Outlet Pump Motor. Connected to suction/discharge lines, related valves, sensors and motor control circuit.
PE09;Purification Return Pump Motor;Provides liquid circulation or transfer in the process line for Purification Return Pump Motor. Connected to suction/discharge lines, related valves, sensors and motor control circuit.
PE10;1. Dosing Pump;Provides liquid circulation or transfer in the process line for 1. Dosing Pump. Connected to suction/discharge lines, related valves, sensors and motor control circuit.
PE11;2. Dosing Pump;Provides liquid circulation or transfer in the process line for 2. Dosing Pump. Connected to suction/discharge lines, related valves, sensors and motor control circuit.
PE12;3. Dosing Pump;Provides liquid circulation or transfer in the process line for 3. Dosing Pump. Connected to suction/discharge lines, related valves, sensors and motor control circuit.
PE13;Precision Filter Pump Motor;Provides liquid circulation or transfer in the process line for Precision Filter Pump Motor. Connected to suction/discharge lines, related valves, sensors and motor control circuit.
PE14;Oil Separator Pump Motor;Provides liquid circulation or transfer in the process line for Oil Separator Pump Motor. Connected to suction/discharge lines, related valves, sensors and motor control circuit.
PE15;xxx Pump Motor;Provides liquid circulation or transfer in the process line for xxx Pump Motor. Connected to suction/discharge lines, related valves, sensors and motor control circuit.
FE01;Exhaust Fan Motor;Regulates air flow for Exhaust Fan Motor. Connected to ducting, process line dampers/valves and motor protection circuit.
FE02;1. Drying Fan Motor;Regulates air flow for 1. Drying Fan Motor. Connected to ducting, process line dampers/valves and motor protection circuit.
